testId=0, data=0To1 = 0, 1To0 = 0, execTime=3.859000, timestamp=1511130286342
testId=0, data=0To1 = 0, 1To0 = 0, execTime=4.859000, timestamp=1511130286347
testId=0, data=0To1 = 0, 1To0 = 0, execTime=3.609000, timestamp=1511130286351
testId=0, data=0To1 = 0, 1To0 = 0, execTime=4.741000, timestamp=1511130286355
testId=0, data=0To1 = 0, 1To0 = 0, execTime=3.618000, timestamp=1511130286359
testId=0, data=0To1 = 0, 1To0 = 0, execTime=3.574000, timestamp=1511130286363
testId=0, data=0To1 = 0, 1To0 = 0, execTime=3.481000, timestamp=1511130286366
testId=0, data=0To1 = 0, 1To0 = 0, execTime=3.451000, timestamp=1511130286370
testId=0, data=0To1 = 0, 1To0 = 0, execTime=3.293000, timestamp=1511130286373
testId=1, data=0To1 = 0, 1To0 = 0, execTime=46.941000, timestamp=1511130286373
testId=0, data=0To1 = 0, 1To0 = 0, execTime=3.295000, timestamp=1511130286376
testId=0, data=0To1 = 0, 1To0 = 0, execTime=3.322000, timestamp=1511130286380
testId=0, data=0To1 = 0, 1To0 = 0, execTime=3.334000, timestamp=1511130286383
testId=0, data=0To1 = 0, 1To0 = 0, execTime=3.206000, timestamp=1511130286386
testId=1, data=0To1 = 0, 1To0 = 0, execTime=14.758000, timestamp=1511130286388
testId=0, data=0To1 = 0, 1To0 = 0, execTime=3.305000, timestamp=1511130286390
testId=0, data=0To1 = 0, 1To0 = 0, execTime=3.363000, timestamp=1511130286393
testId=0, data=0To1 = 0, 1To0 = 0, execTime=3.638000, timestamp=1511130286397
testId=0, data=0To1 = 0, 1To0 = 0, execTime=3.323000, timestamp=1511130286400
testId=0, data=0To1 = 0, 1To0 = 0, execTime=3.339000, timestamp=1511130286403
testId=0, data=0To1 = 0, 1To0 = 0, execTime=3.330000, timestamp=1511130286407
testId=0, data=0To1 = 0, 1To0 = 0, execTime=3.318000, timestamp=1511130286410
testId=0, data=0To1 = 0, 1To0 = 0, execTime=3.328000, timestamp=1511130286414
testId=0, data=0To1 = 0, 1To0 = 0, execTime=3.337000, timestamp=1511130286417
testId=1, data=0To1 = 0, 1To0 = 0, execTime=29.013000, timestamp=1511130286417
testId=0, data=0To1 = 0, 1To0 = 0, execTime=3.302000, timestamp=1511130286420
testId=0, data=0To1 = 0, 1To0 = 0, execTime=3.577000, timestamp=1511130286424
testId=0, data=0To1 = 0, 1To0 = 0, execTime=3.434000, timestamp=1511130286427
testId=0, data=0To1 = 0, 1To0 = 0, execTime=3.321000, timestamp=1511130286431
testId=0, data=0To1 = 0, 1To0 = 0, execTime=3.315000, timestamp=1511130286434
testId=0, data=0To1 = 0, 1To0 = 0, execTime=3.310000, timestamp=1511130286437
testId=0, data=0To1 = 0, 1To0 = 0, execTime=3.279000, timestamp=1511130286441
testId=0, data=0To1 = 0, 1To0 = 0, execTime=3.319000, timestamp=1511130286444
testId=0, data=0To1 = 0, 1To0 = 0, execTime=3.298000, timestamp=1511130286447
testId=1, data=0To1 = 0, 1To0 = 0, execTime=32.720000, timestamp=1511130286450
testId=0, data=0To1 = 0, 1To0 = 0, execTime=3.277000, timestamp=1511130286451
testId=0, data=0To1 = 0, 1To0 = 0, execTime=3.315000, timestamp=1511130286454
testId=0, data=0To1 = 0, 1To0 = 0, execTime=3.306000, timestamp=1511130286457
testId=0, data=0To1 = 0, 1To0 = 0, execTime=3.302000, timestamp=1511130286461
testId=0, data=0To1 = 0, 1To0 = 0, execTime=3.316000, timestamp=1511130286464
